Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v295,-1.5884651,-0.47613344,7.6752844,-5.8355513,0.8405832
volume_sn_voxels::v296,0.69876873,-0.435575,-0.58381164,-15.340791,0.74563694
volume_sn_voxels::v297,2.0535703,-0.46932715,6.7186494,-2.038187,0.7035578
volume_sn_voxels::v298,1.2014847,-0.13424511,3.2526743,2.1384828,1.0466477
volume_sn_voxels::v299,1.2058297,-0.46133998,9.8391,4.022031,0.6207517
volume_sn_voxels::v300,-1.1884196,-0.010676357,-0.061644122,3.6958497,0.92897195
volume_sn_voxels::v301,0.24374902,-0.40976173,-0.17743228,-1.8357586,0.7835469
volume_sn_voxels::v302,-1.0255562,-0.622696,1.8312521,-5.971014,0.63984656
volume_sn_voxels::v303,0.39317638,-0.6856749,0.555203,3.5318785,0.6641604
volume_sn_voxels::v304,-1.3964101,-0.056508284,-4.963263,2.3723457,0.9118839
volume_sn_voxels::v305,-1.189785,-0.07020234,0.20396289,15.910442,0.9730169
volume_sn_voxels::v306,-0.8408335,-0.20047992,2.7761502,6.1931157,0.9311106
volume_sn_voxels::v307,4.7854643,-0.36285523,0.6837075,8.908283,0.8403576
volume_sn_voxels::v308,-0.16900504,-0.7201312,-2.213536,-8.336051,0.6167607
volume_sn_voxels::v309,0.25630224,-0.74681604,-2.245504,3.7296612,0.46245772
volume_sn_voxels::v310,3.0162294,-0.90349865,-2.7416167,-7.5814,0.49517554
volume_sn_voxels::v311,2.4851665,-1.2227525,5.037659,-13.727525,0.43926957
volume_sn_voxels::v312,0.42067665,0.53929114,-2.1986554,6.923263,1.1854423
volume_sn_voxels::v313,1.9609623,0.20757139,-3.9336293,-7.348693,1.0900763
volume_sn_voxels::v314,0.42841417,-0.22156473,-2.221241,10.017329,0.92361397
volume_sn_voxels::v315,0.5401908,-0.28471217,-1.2813091,-2.4196794,0.8603002
