Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Feature_86,0.92657214,0.68848926,0.33281222,-0.36023402,0.5926433,1.3442267,0.033666767,-0.2667222,-0.24778256,0.0552089,0.35411173,-0.8267457,0.32940027,-0.47960684,-0.14693227,-0.56448406,-0.4123735,1.1303617,-0.5872366,-0.54752725
Feature_87,-0.006525333,-0.53085357,0.047749653,1.1888359,0.49233276,1.3112801,0.0796729,-0.52507687,0.23239174,0.28039324,0.7754094,-0.48112503,0.4505626,-0.9923289,-0.99585176,-0.5599671,0.473637,1.2928393,-0.21976738,-0.10863744
Feature_88,0.56180006,-0.56643564,0.35076988,1.541191,-0.31816953,0.81634676,0.99414897,-0.6768367,0.9005511,-0.55709165,0.8924239,-0.26558158,-0.47864187,-1.1046877,-0.21575321,-0.8616027,0.82400954,1.0456487,-0.6626035,-0.75550663
Feature_89,-0.30977517,-1.3271644,0.6130728,1.5906837,-0.5615305,1.4255548,-0.8588519,0.76607955,0.74704146,-0.956824,1.0457174,-0.23717299,-0.7584626,-1.2205963,-0.685419,-0.40508112,1.111824,1.800681,-0.17028344,-0.09951996
Feature_90,-0.8004538,-1.8375989,-0.19410549,1.5467252,-1.1995122,1.3986211,-0.33611882,-0.0926472,0.675277,-0.53262806,0.22543545,0.040858954,-0.79457724,-1.3606083,-0.96641207,0.13968834,1.5724957,-0.052733287,-0.44493905,-0.49586445
Feature_91,1.1545722,-0.14141403,0.17262319,-0.33236825,-0.24754806,0.94155234,-1.1759541,1.5628241,1.4894185,1.2325505,0.7106542,0.9350816,-0.9137107,-1.0581882,1.1522992,-1.0008081,-0.9632648,1.1632353,-1.0671039,-1.8323245
Feature_92,0.79152334,-0.89361054,1.2339245,0.28106982,0.5650644,-0.0071982876,0.24239287,0.5047314,-0.5170505,-0.27193826,-1.2801361,-0.5001095,0.09407081,-0.9956854,0.7979161,-0.029873284,0.9358666,-0.51355684,0.5580812,0.18734738
Feature_93,1.6592759,0.031102892,-0.3024296,0.6017192,0.91099197,1.1512928,-0.3440302,1.0105091,1.1908317,0.83457965,1.2556175,0.5816085,-0.5433442,-1.5178244,1.13354,-1.9121847,-0.1214936,0.6233122,-1.1293061,-1.2862982
Feature_94,0.8679498,-0.9549608,0.7402641,0.44060078,-0.17953752,0.3664113,-0.6928271,-0.22139849,1.6854812,0.25266582,-0.055161655,-0.2660991,0.004437181,-0.54866743,0.67988414,0.37474886,1.6855785,1.1521896,0.48710898,0.16939804
Feature_95,1.4041424,-1.0306123,-0.18209592,-0.34125242,0.1559064,-0.49072793,0.075256236,-0.5789636,1.5096198,0.25043592,0.24903198,0.98341024,0.27872005,-1.1113477,-0.3322936,-0.12793194,-1.0946349,0.13368946,0.0076926574,-0.01824126
Feature_96,0.51459444,0.7895616,1.7117996,-1.3188739,-1.6679866,1.1222811,-1.1110417,0.6255666,0.86365193,0.73297155,0.2535629,-0.34474495,0.08340649,1.1115533,0.5883498,0.58524257,0.08802838,1.1891044,-0.55096465,0.36042953
